Date,Close
2022/2/1,1.210941281
2022/2/2,1.208969915
2022/2/3,1.19615571
2022/2/4,1.199112806
2022/2/7,1.196648575
2022/2/8,1.208230571
2022/2/9,1.227205446
2022/2/10,1.21907341
2022/2/11,1.2005914
2022/2/14,1.192212885
2022/2/15,1.218087681
2022/2/16,1.22695906
2022/2/17,1.212666261
2022/2/18,1.2005914
2022/2/22,1.183587891
2022/2/23,1.16978805
2022/2/24,1.145638235
2022/2/25,1.166830861
2022/2/28,1.151552426
2022/3/1,1.13627399
2022/3/2,1.138245356
2022/3/3,1.12222767
2022/3/4,1.099556356
2022/3/7,1.058403125
2022/3/8,1.061853085
2022/3/9,1.091917185
2022/3/10,1.071463716
2022/3/11,1.049038881
2022/3/14,1.02365695
