date,Return
0,1.29980469
1,1.29980469
2,1.29980469
3,1.29980469
4,1.29980469
5,1.29980469
6,1.29980469
7,1.20019531
8,1.20019531
9,1.20019531
10,1.29980469
11,1.29980469
12,1.29980469
13,1.20019531
14,1.20019531
15,1.20019531
16,1.20019531
17,1.20019531
18,1.29980469
19,1.20019531
20,1.20019531
21,1.20019531
22,1.20019531
23,1.20019531
24,1.20019531
25,1.29980469
26,1.20019531
27,1.29980469
28,1.20019531
