date,Return
2022-02-01,1.24023438
2022-02-02,1.18164062
2022-02-03,1.18847656
2022-02-04,1.17382812
2022-02-07,1.13378906
2022-02-08,1.14648438
2022-02-09,1.14257812
2022-02-10,1.14160156
2022-02-11,1.13769531
2022-02-14,1.13867188
2022-02-15,1.08496094
2022-02-16,1.20800781
2022-02-17,1.24804688
2022-02-18,1.22363281
2022-02-21,1.15527344
2022-02-22,1.13671875
2022-02-23,1.125
2022-02-24,1.13183594
2022-02-25,1.25
2022-02-28,1.25097656
2022-03-01,1.234375
2022-03-02,1.23535156
2022-03-03,1.23144531
2022-03-04,1.2109375
2022-03-07,1.20898438
2022-03-08,1.25
2022-03-09,1.2109375
2022-03-10,1.22070312
2022-03-11,1.24804688
2022-03-14,1.23535156
