date,Return
0,1.40039062
1,1.40039062
2,1.09960938
3,1.29980469
4,1.40039062
5,1.29980469
6,1.40039062
7,1.20019531
8,1.40039062
9,1.20019531
10,1.29980469
11,1.29980469
12,1.29980469
13,1.29980469
14,1.29980469
15,1.40039062
16,1.20019531
17,1.29980469
18,1.20019531
19,1.20019531
20,1.29980469
21,1.20019531
22,1.29980469
23,1.29980469
24,1.29980469
25,1.29980469
26,1.29980469
27,1.20019531
28,1.29980469
